
2022-11-13 05:57:16: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=16, nmi=0.6087, ari=0.4936, ami=0.6070, time_cost=44.7137s

2022-11-13 05:58:09: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=19, nmi=0.6713, ari=0.4652, ami=0.6698, time_cost=53.2459s

2022-11-13 05:59:12: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=23, nmi=0.6695, ari=0.4608, ami=0.6680, time_cost=63.3103s

2022-11-13 06:00:29: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=26, nmi=0.6494, ari=0.4981, ami=0.6478, time_cost=76.6230s

2022-11-13 06:01:41: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=29, nmi=0.6631, ari=0.4489, ami=0.6615, time_cost=71.4871s

2022-11-13 06:02:42: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=33, nmi=0.5902, ari=0.4437, ami=0.5884, time_cost=61.9526s

2022-11-13 06:03:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=36, nmi=0.5735, ari=0.4262, ami=0.5716, time_cost=68.8989s

2022-11-13 06:05:06: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=39, nmi=0.5955, ari=0.4055, ami=0.5937, time_cost=74.3843s

2022-11-13 06:06:23: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=42, nmi=0.5840, ari=0.2828, ami=0.5819, time_cost=77.4952s

2022-11-13 06:07:50: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=46, nmi=0.6145, ari=0.3900, ami=0.6127, time_cost=86.6303s

2022-11-13 06:09:21: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=49, nmi=0.6122, ari=0.3864, ami=0.6105, time_cost=91.4673s

2022-11-13 06:11:03: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=52, nmi=0.6122, ari=0.3864, ami=0.6105, time_cost=101.1399s

2022-11-13 06:12:41: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=56, nmi=0.5806, ari=0.2502, ami=0.5785, time_cost=98.6978s

2022-11-13 06:13:50: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=59, nmi=0.5915, ari=0.2593, ami=0.5895, time_cost=68.8037s

2022-11-13 06:15:04: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=62, nmi=0.6581, ari=0.4372, ami=0.6566, time_cost=73.5543s

2022-11-13 06:16:19: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=66, nmi=0.6782, ari=0.5099, ami=0.6768, time_cost=75.5771s

2022-11-13 06:17:42: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=69, nmi=0.6782, ari=0.5099, ami=0.6768, time_cost=83.0634s

2022-11-13 06:19:06: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=72, nmi=0.6782, ari=0.5099, ami=0.6768, time_cost=83.3850s

2022-11-13 06:20:39: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=75, nmi=0.6782, ari=0.5099, ami=0.6768, time_cost=93.2093s

2022-11-13 06:22:11: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=79, nmi=0.6929, ari=0.5077, ami=0.6915, time_cost=91.9531s

2022-11-13 06:23:45: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=82, nmi=0.6861, ari=0.5463, ami=0.6848, time_cost=94.5065s

2022-11-13 06:25:24: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=85, nmi=0.7355, ari=0.6064, ami=0.7344, time_cost=98.3425s

2022-11-13 06:27:18: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=89, nmi=0.6920, ari=0.5256, ami=0.6906, time_cost=114.2210s

2022-11-13 06:29:03: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=92, nmi=0.7355, ari=0.6064, ami=0.7344, time_cost=105.2757s

2022-11-13 06:30:55: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=95, nmi=0.7355, ari=0.6064, ami=0.7344, time_cost=111.3125s

