
2022-12-06 22:53:01: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=52, n_clusters=10, nmi=0.3597, ari=0.0580, ami=0.3595, time_cost=6.2105s

2022-12-06 22:53:07: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=53, n_clusters=10, nmi=0.3683, ari=0.0593, ami=0.3681, time_cost=6.0521s

2022-12-06 22:53:14: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=54, n_clusters=10, nmi=0.3682, ari=0.0593, ami=0.3680, time_cost=6.1598s

2022-12-06 22:53:20: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=55, n_clusters=10, nmi=0.3893, ari=0.0707, ami=0.3891, time_cost=6.1615s

2022-12-06 22:53:26: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=56, n_clusters=10, nmi=0.3895, ari=0.0708, ami=0.3893, time_cost=6.1723s

2022-12-06 22:53:32: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=57, n_clusters=10, nmi=0.3896, ari=0.0708, ami=0.3894, time_cost=6.0778s

2022-12-06 22:53:38: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=58, n_clusters=10, nmi=0.3897, ari=0.0710, ami=0.3895, time_cost=5.9930s

2022-12-06 22:53:44: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=59, n_clusters=10, nmi=0.3797, ari=0.0670, ami=0.3795, time_cost=6.0235s

2022-12-06 22:53:50: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=60, n_clusters=10, nmi=0.3581, ari=0.0591, ami=0.3579, time_cost=5.9824s

2022-12-06 22:53:57: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=61, n_clusters=10, nmi=0.3626, ari=0.0631, ami=0.3624, time_cost=5.9914s

2022-12-06 22:54:03: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=62, n_clusters=10, nmi=0.3645, ari=0.0674, ami=0.3643, time_cost=5.9914s

2022-12-06 22:54:09: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=63, n_clusters=10, nmi=0.3592, ari=0.0635, ami=0.3589, time_cost=5.8922s

2022-12-06 22:54:15: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=64, n_clusters=10, nmi=0.3640, ari=0.0657, ami=0.3638, time_cost=5.9139s

2022-12-06 22:54:20: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=65, n_clusters=10, nmi=0.3705, ari=0.0641, ami=0.3703, time_cost=5.7998s

2022-12-06 22:54:26: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=66, n_clusters=10, nmi=0.3910, ari=0.0800, ami=0.3908, time_cost=5.8291s

2022-12-06 22:54:32: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=67, n_clusters=10, nmi=0.3908, ari=0.0800, ami=0.3906, time_cost=5.8450s

2022-12-06 22:54:38: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=68, n_clusters=10, nmi=0.4125, ari=0.0891, ami=0.4124, time_cost=5.7794s

2022-12-06 22:54:44: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=69, n_clusters=10, nmi=0.4186, ari=0.0914, ami=0.4184, time_cost=5.7417s

2022-12-06 22:54:50: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=70, n_clusters=10, nmi=0.4186, ari=0.0958, ami=0.4185, time_cost=5.7039s

2022-12-06 22:54:55: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=71, n_clusters=10, nmi=0.3903, ari=0.0772, ami=0.3901, time_cost=5.6347s

2022-12-06 22:55:01: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=72, n_clusters=10, nmi=0.4107, ari=0.0930, ami=0.4106, time_cost=5.6219s

2022-12-06 22:55:07: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=73, n_clusters=10, nmi=0.4410, ari=0.1126, ami=0.4408, time_cost=5.5986s

2022-12-06 22:55:12: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=74, n_clusters=10, nmi=0.4383, ari=0.1041, ami=0.4381, time_cost=5.4343s

2022-12-06 22:55:18: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=75, n_clusters=10, nmi=0.4530, ari=0.1136, ami=0.4528, time_cost=5.5591s

2022-12-06 22:55:23: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=76, n_clusters=10, nmi=0.4528, ari=0.1134, ami=0.4526, time_cost=5.4093s

2022-12-06 22:55:29: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=77, n_clusters=10, nmi=0.4590, ari=0.1215, ami=0.4588, time_cost=5.3951s

2022-12-06 22:55:34: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=78, n_clusters=10, nmi=0.4582, ari=0.1212, ami=0.4581, time_cost=5.3501s

2022-12-06 22:55:40: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=79, n_clusters=10, nmi=0.4132, ari=0.0995, ami=0.4131, time_cost=5.3658s

2022-12-06 22:55:45: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=80, n_clusters=10, nmi=0.4739, ari=0.1334, ami=0.4737, time_cost=5.3787s

2022-12-06 22:55:51: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=81, n_clusters=10, nmi=0.4500, ari=0.1206, ami=0.4498, time_cost=5.3117s

2022-12-06 22:55:56: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=82, n_clusters=10, nmi=0.4497, ari=0.1204, ami=0.4495, time_cost=5.3461s

2022-12-06 22:56:01: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=83, n_clusters=10, nmi=0.4497, ari=0.1203, ami=0.4495, time_cost=5.2729s

2022-12-06 22:56:07: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=84, n_clusters=10, nmi=0.4507, ari=0.1210, ami=0.4506, time_cost=5.3188s

