
2022-12-09 03:29:03: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=109, n_clusters=15, nmi=0.9404, ari=0.9255, ami=0.9399, time_cost=0.9116s

2022-12-09 03:29:04: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=110, n_clusters=15, nmi=0.9395, ari=0.9248, ami=0.9390, time_cost=0.9365s

2022-12-09 03:29:05: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=111, n_clusters=15, nmi=0.9343, ari=0.9172, ami=0.9338, time_cost=0.9216s

2022-12-09 03:29:06: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=112, n_clusters=15, nmi=0.9289, ari=0.8737, ami=0.9284, time_cost=0.9104s

2022-12-09 03:29:07: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=113, n_clusters=15, nmi=0.9394, ari=0.9210, ami=0.9390, time_cost=1.0404s

2022-12-09 03:29:08: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=114, n_clusters=15, nmi=0.9407, ari=0.9244, ami=0.9403, time_cost=0.8932s

2022-12-09 03:29:08: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=115, n_clusters=15, nmi=0.9388, ari=0.9225, ami=0.9384, time_cost=0.8870s

2022-12-09 03:29:09: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=116, n_clusters=15, nmi=0.9363, ari=0.9189, ami=0.9358, time_cost=0.9065s

2022-12-09 03:29:10: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=117, n_clusters=15, nmi=0.9200, ari=0.8866, ami=0.9194, time_cost=0.9294s

2022-12-09 03:29:11: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=118, n_clusters=15, nmi=0.9408, ari=0.9275, ami=0.9404, time_cost=0.9166s

2022-12-09 03:29:12: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=119, n_clusters=15, nmi=0.9415, ari=0.9299, ami=0.9411, time_cost=0.9213s

2022-12-09 03:29:13: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=120, n_clusters=15, nmi=0.9346, ari=0.9183, ami=0.9341, time_cost=1.0226s

2022-12-09 03:29:14: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=121, n_clusters=15, nmi=0.9163, ari=0.8482, ami=0.9156, time_cost=0.8935s

2022-12-09 03:29:15: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=122, n_clusters=15, nmi=0.9382, ari=0.9238, ami=0.9378, time_cost=0.9235s

2022-12-09 03:29:16: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=123, n_clusters=15, nmi=0.9417, ari=0.9291, ami=0.9412, time_cost=0.9338s

2022-12-09 03:29:17: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=124, n_clusters=15, nmi=0.9279, ari=0.9025, ami=0.9274, time_cost=0.9121s

2022-12-09 03:29:18: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=125, n_clusters=15, nmi=0.9360, ari=0.9179, ami=0.9355, time_cost=0.9005s

2022-12-09 03:29:19: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=126, n_clusters=15, nmi=0.9337, ari=0.9133, ami=0.9332, time_cost=1.0251s

2022-12-09 03:29:20: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=127, n_clusters=15, nmi=0.9204, ari=0.8545, ami=0.9198, time_cost=0.8966s

2022-12-09 03:29:21: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=128, n_clusters=15, nmi=0.9325, ari=0.9087, ami=0.9320, time_cost=0.9093s

