
2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.5866s

2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.6621s

2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.7542s

2022-12-13 23:29:39: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1633, ari=0.0196, ami=0.1559, time_cost=9.8502s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=11.5181s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9764, ari=0.9408, ami=0.9747, time_cost=11.5986s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8292, ari=0.4765, ami=0.8213, time_cost=11.6742s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=11.7617s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=11.8345s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.6783, ari=0.1997, ami=0.6656, time_cost=11.9138s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7270, ari=0.3632, ami=0.7187, time_cost=11.9888s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.4802, ari=0.1555, ami=0.4729, time_cost=12.1125s

2022-12-13 23:29:41: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.2469s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.3625s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.4725s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.5801s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.6997s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.8024s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=12.9245s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=13.0330s

2022-12-13 23:29:42: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3865, ari=0.1192, ami=0.3822, time_cost=13.1477s

2022-12-13 23:29:44: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=14.8295s

2022-12-13 23:29:44: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9339, ari=0.8032, ami=0.9300, time_cost=14.9344s

2022-12-13 23:29:44: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8044, ari=0.3912, ami=0.7952, time_cost=15.0437s

2022-12-13 23:29:44: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8258, ari=0.4750, ami=0.8178, time_cost=15.1483s

2022-12-13 23:29:44: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=15.2552s

2022-12-13 23:29:45: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.5422, ari=0.1147, ami=0.5257, time_cost=15.3469s

2022-12-13 23:29:45: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.4201, ari=0.0714, ami=0.4066, time_cost=15.4232s

2022-12-13 23:29:45: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.1659, ari=0.0196, ami=0.1585, time_cost=15.4939s

2022-12-13 23:29:47: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9519, ari=0.9110, ami=0.9478, time_cost=17.6507s

2022-12-13 23:29:47: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8395, ari=0.5166, ami=0.8313, time_cost=17.7209s

2022-12-13 23:29:47: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8176, ari=0.4733, ami=0.8092, time_cost=17.8215s

2022-12-13 23:29:47: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8176, ari=0.4733, ami=0.8092, time_cost=17.9294s

2022-12-13 23:29:47: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=18.0505s

2022-12-13 23:29:47: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3897, ari=0.0598, ami=0.3705, time_cost=18.1500s

2022-12-13 23:29:49: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9053, ari=0.7972, ami=0.8974, time_cost=20.1244s

2022-12-13 23:29:49: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8199, ari=0.4421, ami=0.8096, time_cost=20.1944s

2022-12-13 23:29:49: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8205, ari=0.4729, ami=0.8122, time_cost=20.2691s

