
2022-12-08 17:24:42: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=81, n_clusters=10, nmi=0.5745, ari=0.3068, ami=0.5744, time_cost=7.9140s

2022-12-08 17:24:50: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=82, n_clusters=10, nmi=0.5744, ari=0.3067, ami=0.5743, time_cost=7.8712s

2022-12-08 17:24:58: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=83, n_clusters=10, nmi=0.5742, ari=0.3065, ami=0.5741, time_cost=7.8350s

2022-12-08 17:25:06: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=84, n_clusters=10, nmi=0.5866, ari=0.3277, ami=0.5865, time_cost=7.8893s

2022-12-08 17:25:14: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=85, n_clusters=10, nmi=0.5936, ari=0.3466, ami=0.5935, time_cost=7.8972s

2022-12-08 17:25:22: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=86, n_clusters=10, nmi=0.5932, ari=0.3463, ami=0.5931, time_cost=7.7592s

2022-12-08 17:25:30: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=87, n_clusters=10, nmi=0.6092, ari=0.3843, ami=0.6091, time_cost=7.5296s

2022-12-08 17:25:37: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=88, n_clusters=10, nmi=0.6084, ari=0.3837, ami=0.6083, time_cost=7.4165s

2022-12-08 17:25:45: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=89, n_clusters=10, nmi=0.6043, ari=0.3794, ami=0.6042, time_cost=7.3751s

2022-12-08 17:25:52: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=90, n_clusters=10, nmi=0.6043, ari=0.3796, ami=0.6042, time_cost=7.3076s

2022-12-08 17:26:00: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=91, n_clusters=10, nmi=0.6027, ari=0.3779, ami=0.6026, time_cost=7.2813s

2022-12-08 17:26:07: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=92, n_clusters=10, nmi=0.6033, ari=0.3788, ami=0.6032, time_cost=7.1213s

2022-12-08 17:26:14: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=93, n_clusters=10, nmi=0.6030, ari=0.3787, ami=0.6029, time_cost=7.1712s

2022-12-08 17:26:21: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=94, n_clusters=10, nmi=0.6028, ari=0.3816, ami=0.6027, time_cost=7.2102s

2022-12-08 17:26:29: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=95, n_clusters=10, nmi=0.6027, ari=0.3815, ami=0.6026, time_cost=7.1823s

2022-12-08 17:26:36: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=96, n_clusters=10, nmi=0.6023, ari=0.3812, ami=0.6021, time_cost=7.0639s

2022-12-08 17:26:43: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=97, n_clusters=10, nmi=0.6013, ari=0.3801, ami=0.6012, time_cost=7.1120s

