
2022-11-13 13:47:30: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=351, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4256s

2022-11-13 13:47:31: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=360, nmi=0.8127, ari=0.6856, ami=0.8125, time_cost=0.4268s

2022-11-13 13:47:31: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=369, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.4333s

2022-11-13 13:47:32: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=378, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.4328s

2022-11-13 14:18:56: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=387, nmi=0.5586, ari=0.3579, ami=0.5580, time_cost=1884.5147s

2022-11-13 14:50:12: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=396, nmi=0.5543, ari=0.3516, ami=0.5538, time_cost=1875.5180s

2022-11-13 15:20:57: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=405, nmi=0.5543, ari=0.3516, ami=0.5538, time_cost=1845.6474s

2022-11-13 15:55:44: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=414, nmi=0.5548, ari=0.3522, ami=0.5543, time_cost=2087.0957s

2022-11-13 16:30:02: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=423, nmi=0.5564, ari=0.3545, ami=0.5559, time_cost=2057.2609s

2022-11-13 17:04:07: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=432, nmi=0.5563, ari=0.3546, ami=0.5557, time_cost=2044.9890s

2022-11-13 17:37:58: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=441, nmi=0.5563, ari=0.3546, ami=0.5557, time_cost=2031.5614s

2022-11-13 17:38:10: phoneme datasets process:  alg_name=WassDPC(out), shape=(4509, 256), n_clusters=5, k_neighbors=450, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=11.4252s

2022-11-13 17:44:27: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=9, nmi=0.0711, ari=0.0065, ami=0.0692, time_cost=376.8549s

2022-11-13 17:55:55: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=18, nmi=0.6319, ari=0.3833, ami=0.6315, time_cost=688.3358s

2022-11-13 18:12:50: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=27, nmi=0.6541, ari=0.4102, ami=0.6536, time_cost=1015.4913s

2022-11-13 18:19:28: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=36, nmi=0.6615, ari=0.4211, ami=0.6610, time_cost=397.8207s

2022-11-13 18:24:51: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=45, nmi=0.5850, ari=0.4557, ami=0.5846, time_cost=322.4770s

2022-11-13 18:31:15: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=54, nmi=0.5899, ari=0.4630, ami=0.5894, time_cost=384.1769s

2022-11-13 18:38:44: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=63, nmi=0.5706, ari=0.3765, ami=0.5700, time_cost=448.9242s

2022-11-13 18:47:04: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=72, nmi=0.5904, ari=0.4685, ami=0.5899, time_cost=500.3751s

2022-11-13 18:53:33: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=81, nmi=0.5421, ari=0.3259, ami=0.5416, time_cost=388.9825s

2022-11-13 19:00:52: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=90, nmi=0.5419, ari=0.3263, ami=0.5413, time_cost=438.5485s

2022-11-13 19:08:48: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=99, nmi=0.5439, ari=0.3276, ami=0.5433, time_cost=476.2068s

2022-11-13 19:08:48: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=108, nmi=0.6422, ari=0.4803, ami=0.6418, time_cost=0.4298s

2022-11-13 19:08:49: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=117, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3070s

2022-11-13 19:08:49: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=126, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3033s

2022-11-13 19:19:28: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=135, nmi=0.5439, ari=0.3276, ami=0.5433, time_cost=638.5151s

2022-11-13 19:30:56: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=144, nmi=0.5431, ari=0.3270, ami=0.5425, time_cost=688.1242s

2022-11-13 19:30:56: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=153, nmi=0.6422, ari=0.4803, ami=0.6418, time_cost=0.4485s

2022-11-13 19:30:57: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=162, nmi=0.7994, ari=0.7550, ami=0.7992, time_cost=0.3809s

2022-11-13 19:30:57: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=171, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3158s

2022-11-13 19:30:57: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=180, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3179s

2022-11-13 19:46:33: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=189, nmi=0.5419, ari=0.3263, ami=0.5413, time_cost=936.1291s

2022-11-13 20:02:37: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=198, nmi=0.5439, ari=0.3276, ami=0.5433, time_cost=963.6342s

2022-11-13 20:19:31: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=207, nmi=0.5431, ari=0.3270, ami=0.5425, time_cost=1013.7122s

2022-11-13 20:37:14: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=216, nmi=0.5431, ari=0.3270, ami=0.5425, time_cost=1063.2919s

