
2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=260, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0443s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=267, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0452s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=274, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0448s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=281, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0449s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=288, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0450s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=294, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0512s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=301, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0517s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=308, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0520s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=315, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0525s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=322, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0523s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=329, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0523s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=336, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0527s

2022-11-13 03:54:04: banknote datasets process:  alg_name=WassDPC(out), shape=(1372, 4), n_clusters=2, k_neighbors=343, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0526s

2022-11-13 03:54:24: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=13, nmi=0.0059, ari=-0.0053, ami=0.0052, time_cost=12.2679s

2022-11-13 03:54:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=20, nmi=0.0025, ari=-0.0026, ami=0.0020, time_cost=14.1339s

2022-11-13 03:54:59: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=27, nmi=0.0025, ari=-0.0026, ami=0.0020, time_cost=20.6312s

2022-11-13 03:55:11: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=34, nmi=0.0043, ari=-0.0025, ami=0.0038, time_cost=12.0363s

2022-11-13 03:55:25: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=41, nmi=0.1322, ari=0.0572, ami=0.1316, time_cost=14.4436s

2022-11-13 03:55:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=48, nmi=0.0048, ari=0.0102, ami=0.0043, time_cost=12.7004s

2022-11-13 03:55:52: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=54, nmi=0.0300, ari=0.0433, ami=0.0295, time_cost=13.9438s

2022-11-13 03:56:08: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=61, nmi=0.0485, ari=0.0711, ami=0.0480, time_cost=15.8961s

2022-11-13 03:56:25: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=68, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=16.7915s

2022-11-13 03:56:44: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=75, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=18.8420s

2022-11-13 03:57:06: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=82, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=22.4823s

2022-11-13 03:57:29: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=89, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=22.5951s

2022-11-13 03:57:52: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=96, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=23.6753s

2022-11-13 03:58:19: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=102, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=26.5470s

2022-11-13 03:58:32: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=109, nmi=0.2211, ari=0.1332, ami=0.2206, time_cost=13.1505s

2022-11-13 03:58:37: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=116, nmi=0.3304, ari=0.2072, ami=0.3300, time_cost=5.2345s

2022-11-13 03:58:37: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=123, nmi=0.3006, ari=0.1650, ami=0.3002, time_cost=0.0486s

