
2022-12-09 03:20:23: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=37, n_clusters=15, nmi=0.9435, ari=0.9344, ami=0.9431, time_cost=0.1537s

2022-12-09 03:20:23: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=38, n_clusters=15, nmi=0.9438, ari=0.9338, ami=0.9434, time_cost=0.1723s

2022-12-09 03:20:24: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=39, n_clusters=15, nmi=0.9412, ari=0.9295, ami=0.9408, time_cost=0.1989s

2022-12-09 03:20:24: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=40, n_clusters=15, nmi=0.9418, ari=0.9303, ami=0.9413, time_cost=0.2107s

2022-12-09 03:20:24: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=41, n_clusters=15, nmi=0.9407, ari=0.9290, ami=0.9402, time_cost=0.1901s

2022-12-09 03:20:24: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=42, n_clusters=15, nmi=0.9417, ari=0.9319, ami=0.9413, time_cost=0.1910s

2022-12-09 03:20:25: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=43, n_clusters=15, nmi=0.9409, ari=0.9301, ami=0.9405, time_cost=0.1912s

2022-12-09 03:20:25: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=44, n_clusters=15, nmi=0.9410, ari=0.9284, ami=0.9406, time_cost=0.1884s

2022-12-09 03:20:25: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=45, n_clusters=15, nmi=0.9384, ari=0.9251, ami=0.9379, time_cost=0.2079s

2022-12-09 03:20:25: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=46, n_clusters=15, nmi=0.9398, ari=0.9267, ami=0.9393, time_cost=0.1989s

2022-12-09 03:20:25: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=47, n_clusters=15, nmi=0.9418, ari=0.9309, ami=0.9414, time_cost=0.2292s

2022-12-09 03:20:26: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=48, n_clusters=15, nmi=0.9417, ari=0.9308, ami=0.9413, time_cost=0.2400s

2022-12-09 03:20:26: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=49, n_clusters=15, nmi=0.9406, ari=0.9272, ami=0.9401, time_cost=0.2203s

2022-12-09 03:20:26: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=50, n_clusters=15, nmi=0.9408, ari=0.9280, ami=0.9404, time_cost=0.2165s

2022-12-09 03:20:26: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=51, n_clusters=15, nmi=0.9426, ari=0.9298, ami=0.9422, time_cost=0.2354s

2022-12-09 03:20:27: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=52, n_clusters=15, nmi=0.9431, ari=0.9306, ami=0.9427, time_cost=0.2281s

2022-12-09 03:20:27: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=53, n_clusters=15, nmi=0.9437, ari=0.9313, ami=0.9433, time_cost=0.2700s

2022-12-09 03:20:27: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=54, n_clusters=15, nmi=0.9427, ari=0.9295, ami=0.9423, time_cost=0.2380s

2022-12-09 03:20:28: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=55, n_clusters=15, nmi=0.9438, ari=0.9312, ami=0.9434, time_cost=0.2569s

2022-12-09 03:20:28: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=56, n_clusters=15, nmi=0.9419, ari=0.9285, ami=0.9415, time_cost=0.2478s

2022-12-09 03:20:28: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=57, n_clusters=15, nmi=0.9442, ari=0.9334, ami=0.9438, time_cost=0.2548s

2022-12-09 03:20:28: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=58, n_clusters=15, nmi=0.9446, ari=0.9323, ami=0.9442, time_cost=0.2593s

2022-12-09 03:20:29: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=59, n_clusters=15, nmi=0.9431, ari=0.9307, ami=0.9426, time_cost=0.3110s

2022-12-09 03:20:29: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=60, n_clusters=15, nmi=0.9444, ari=0.9328, ami=0.9440, time_cost=0.2844s

2022-12-09 03:20:29: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=61, n_clusters=15, nmi=0.9440, ari=0.9321, ami=0.9436, time_cost=0.2873s

2022-12-09 03:20:30: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=62, n_clusters=15, nmi=0.9434, ari=0.9313, ami=0.9430, time_cost=0.2768s

2022-12-09 03:20:30: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=63, n_clusters=15, nmi=0.9441, ari=0.9320, ami=0.9437, time_cost=0.2859s

2022-12-09 03:20:30: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=64, n_clusters=15, nmi=0.9448, ari=0.9323, ami=0.9444, time_cost=0.3024s

2022-12-09 03:20:31: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=65, n_clusters=15, nmi=0.9440, ari=0.9315, ami=0.9436, time_cost=0.3060s

2022-12-09 03:20:31: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=66, n_clusters=15, nmi=0.9437, ari=0.9315, ami=0.9433, time_cost=0.2978s

2022-12-09 03:20:31: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=67, n_clusters=15, nmi=0.9430, ari=0.9299, ami=0.9426, time_cost=0.3136s

2022-12-09 03:20:32: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=68, n_clusters=15, nmi=0.9445, ari=0.9328, ami=0.9441, time_cost=0.3185s

2022-12-09 03:20:32: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=69, n_clusters=15, nmi=0.9451, ari=0.9336, ami=0.9447, time_cost=0.3118s

2022-12-09 03:20:32: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=70, n_clusters=15, nmi=0.9429, ari=0.9308, ami=0.9425, time_cost=0.3242s

2022-12-09 03:20:33: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=71, n_clusters=15, nmi=0.9430, ari=0.9302, ami=0.9425, time_cost=0.3380s

2022-12-09 03:20:33: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=72, n_clusters=15, nmi=0.9431, ari=0.9322, ami=0.9427, time_cost=0.3385s

2022-12-09 03:20:33: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=73, n_clusters=15, nmi=0.9439, ari=0.9326, ami=0.9435, time_cost=0.3436s

2022-12-09 03:20:34: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=74, n_clusters=15, nmi=0.9431, ari=0.9300, ami=0.9427, time_cost=0.3437s

2022-12-09 03:20:34: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=75, n_clusters=15, nmi=0.9413, ari=0.9280, ami=0.9409, time_cost=0.3736s

